external_id;name;slug
КА-00004275;Эл. питания Forte ER26500M /Китай/;draft-7cdc6e40c1eb84b7
КА-00004276;Аккумулятор li-ion BL1860 18V 6Ah /Китай/;draft-3194f7a629d58c1d
КА-00004277;Аккумуляторная батарея DT 6028 Delta, P1NBDVU /Китай/;draft-888a6c23548f8758
КА-00004278;Аккумуляторная батарея DT 6028 Delta, 61SR865 /Китай/;draft-1b3b0a8e3a6ae757
КА-00004279;Аккумулятор CameronSino CS-SMS510SL 900mAh /Китай/;draft-1e650d004c9f361f
КА-00004280;Элемент питания CP LR23A BL2, происх.Китай;draft-74b1607e3f302c6a
КА-00004281;Элемент питания CP LR27A BL2, происх.Китай;draft-c43c716df58a9148
КА-00004282;Аккумулятор li-ion HT03XL 3470mAh /Китай/;draft-e3cd16d1aef88af0
КА-00004283;Батарейка Forte CR-P2 1500 mAh /Китай/;draft-4d2689e68042667f
КА-00004284;Аромадиффузор Family Forever Factory Люкс Спа-отель (100мл);draft-fb94b570d7e43709
КА-00004285;Аромадиффузор Arida Home Hygge No15 Сандаловое дерево (50мл);draft-f810ee9b230677b3
КА-00004286;Аккумулятор 10НКГЦ 4,0 (12 V 5,0Ah),производство Россия;draft-fbc01dcda6aea2da
КА-00004287;SB AA11 2P(Tekcell) Литиевый элемент питания;draft-abe51af4bacba1b8
КА-00004288;Диод 1N5400-1N5408 /Китай/;draft-13a08578b589d1a9
КА-00004289;Диод 1N5400-D /Китай/;draft-5c9aaf71d5f94bb5
КА-00004290;Батарея li-ion TADIRAN 6ES7971-0BA00 3,6V /Китай/;draft-30b73cf4f239a0fc
КА-00004291;Аккумуляторная батарея HRL 12-75 Х, OURTO1R /Вьетнам/;draft-1da547199693d3ba
КА-00004292;Аккумулятор li-ion PMNN4544A 2000mAh /Китай/;draft-c3c5925ef86477d3
КА-00004293;Коммутатор TP-Link TL-SF1024D 24-портовый 10/100 Мбит/с коммутатор, 24 порта RJ45 10/100 Мбит/с, 1U;draft-f8766990271531d5
КА-00004294;Аккумулятор LiFePO4 12V 30Ah / Китай;draft-87756d0fd88eed98
КА-00004295;Элемент питания ENERGIZER CR2450 MAXI BL.2, с контактами.Страна происхождения - ИНДОНЕЗИЯ;draft-3d076b718039570c
КА-00004296;Аккумулятор литий-полимерный 7.4V 1050mAh AE424271P4HHR-2S /Китай/;draft-907b38d07fa1326c
КА-00004297;Аккумулятор Panasonic NCR18650BD- 2980mAh-10A /Китай/;draft-e6d38e130bfb4ff7
КА-00004298;Аккумулятор li-ion NCR18650GA 3,7V 3300mah /Китай/;draft-3aeaf1fdcd14bafe
КА-00004299;Комплект аккумулятора li-ion 18V 5.0Ah для Makita /Китай/;draft-863b900137f5f1b3
КА-00004300;Аккумулятор ICP331319PM /Китай/;draft-94f75b4405718d28
КА-00004301;Батарейка 6ES7971-0BA00 / Китай /;draft-d94ca426a41ab61c
КА-00004302;Аккумулятор li-ion CS-HDP610BL 2200mAh 3,7V /Китай/;draft-d3c8db79cc69abff
КА-00004303;Аккумуляторная батарея DTM 1205 Delta 2FG3U3C;draft-a56365fcc5bc1576
КА-00004304;Аккумуляторная батарея DTM 1205 Delta, 2FG3U3C /Вьетнам/;draft-54e2bec2ab656efe
КА-00004305;SB AA11 3P(Tekcell) Литиевый элемент питания;draft-425c44ea6638458c
КА-00004306;SB AA11 c проводами (Tekcell) Литиевый элемент питания;draft-e88ed0c95dd77c6e
КА-00004307;ER14505 3PF FANSO БАТАРЕЯ ЛИТИЕВАЯ/ Китай;draft-09e818561da3c8a9
КА-00004308;ER14505 c выводами FANSO БАТАРЕЯ ЛИТИЕВАЯ/ Китай;draft-e17a712b3279ca59
КА-00004309;Эл. Питания литиевый Forte ER14505 3 PF Пр-во: Китай;draft-bb086ae187d65d72
КА-00004310;Эл. Питания литиевый Forte ER14505 c выводами Пр-во: Китай;draft-5b2ae87e68e2feaf
КА-00004311;"Элемент питания SAFT LS14250 4PF,1/2AA Lithium; Страна происхождения - ФРАНЦИЯ";draft-aa64b60ebe0d5ca9
КА-00004312;Плата BMS Daly LifePO4 4S40A 12V 40A;draft-248f912ca2d54e76
КА-00004313;Эл. Питания литиевый Forte ER26500 с лепестковыми выводами Пр-во: Китай;draft-0435c1a9b7d71933
КА-00004314;Аккумулятор SUNER Ni-CD 12SC 14,4V 2000mAh power type 10C, Производство: Китай.;draft-dad60ade37c090f1
КА-00004315;Батарейка литиевая Panasonic BR-2/3A 3V 3PF/ Китай/;draft-9af62e1e7040c59e
КА-00004316;Батарейка литиевая Panasonic BR-2/3A 3V с выводами/ Китай/;draft-aa5ceeff76654c89
КА-00004317;Батарейка литиевая FANUC A98L-0031-0026 3V;draft-3109fad197ede1da
КА-00004318;Батарея литиевая-диоксид марганцевая CR14250E/2PT FANSO / Китай/;draft-e83f5ee38b464ce8
КА-00004319;Источник питания CR14505BL Батарейка/Li-ion Цилиндрические / Китай/;draft-d6704b125edc2691
КА-00004320;Техническое обслуживание авто;draft-510b321f6f260ef5
КА-00004321;Салфетки влажные 150 шт., УНИВЕРСАЛЬНЫЕ, с пластиковым клапаном, для всей семьи, LAIMA, арт. 115227;draft-733ce1d3f989fb9f
КА-00004322;"Маркер д/д ""Kores"" красный, Kores  арт.20837";draft-4e6ecb1e65809fad
КА-00004323;"Маркер д/д ""Kores"" черный, Kores  арт.20830";draft-0f335ef51f18cb08
КА-00004324;"Маркер д/д ""Kores"" синий, Kores  арт.20833.04";draft-c7e32d576df9b15d
КА-00004325;"Маркер д/д ""Kores"" зелёный, Kores  арт.20835.04";draft-40470d2b5ca594e2
КА-00004326;Калькулятор наст. 12 р.  STAFF PLUS STF-333 (200x154 мм), 12 разрядов, двойное питание, арт. 250415;draft-f900c0420222ee13
КА-00004327;Карандаш чернографитный OPTIMA Pearl круглый, НВ, арт. 15537;draft-619a773637832438
КА-00004328;Папка регистратор А4 карт., 75 мм. Class, мрамор, с метал. уголком, арт. A0539;draft-5abd563a4dad710e
КА-00004329;Папка регистратор А4 карт., 50 мм. Class, мрамор, с метал. уголком, арт. A0529;draft-c5aacb3d51a4c31d
КА-00004330;Папка регистратор А4 карт., 50 мм. Dolce Costo мрамор черный, арт. D00011-1;draft-63b7ad29b43b492f
КА-00004331;Аккумулятор литиевый ICP103450DA(п) Moli 3,7V 2200mah с выводами /Китай/;draft-158fa01422d048a1
КА-00004332;Аккумулятор 6Ni-MH SUNER AA 7,2V 2200mah;draft-2300bc5abf48b273
КА-00004333;Монополярный держатель электродов;draft-ef5cb136f5cbc537
КА-00004334;Аккумулятор HETRONIC Ni-Mh 68300900 3,6V 2,1Ah / Китай/;draft-f5318c1adbcb4841
КА-00004335;Аккумулятор HETRONIC Ni-Mh 68301000 3,6V 2,75Ah / Китай/;draft-d509ab3e2ff80fc5
