Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение
26012,"Аккумулятор LITJET SMART 12200 (LiFePO4, 200Ah, 12V)",25996,КА-00005276,,Аккумулятор LiFePO4 200Ah TBB Power M12-200/H,LIFEPO4200AH,no,0.95,sig,КА-00005276,agree
26013,"Аккумулятор LITJET SMART 36100 (LiFePO4, 100Ah, 36V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26014,"Аккумулятор LITJET SMART 24150 (LiFePO4, 150Ah, 24V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26015,"Аккумулятор LITJET SMART 24120 (LiFePO4, 120Ah, 24V)",25996,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26017,"Аккумулятор KEPWORTH 12180 (LiFePO4, 180Ah, 12.8V)",26016,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,КА-00006687,differ
26018,"Аккумулятор KEPWORTH 12300 (LiFePO4, 300Ah, 12.8V)",26016,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,КА-00006687,differ
26019,"Аккумулятор KEPWORTH 12100 (LiFePO4, 100Ah, 12.8V)",26016,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,КА-00006687,differ
26020,"Аккумулятор KEPWORTH 12200 (LiFePO4, 200Ah, 12.8V)",26016,КА-00005276,,Аккумулятор LiFePO4 200Ah TBB Power M12-200/H,LIFEPO4200AH,no,0.95,sig,,new
26021,"Аккумулятор KEPWORTH 1260 (LiFePO4, 60Ah, 12.8V)",26016,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,КА-00006687,differ
26022,"Аккумулятор KEPWORTH 12120 (LiFePO4, 120Ah, 12.8V)",26016,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,КА-00006687,differ
26023,"Аккумулятор KEPWORTH 2440 (LiFePO4, 40Ah, 24V)",26016,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,КА-00006687,differ
26024,"Аккумулятор KEPWORTH 24100 (LiFePO4, 100Ah, 24V)",26016,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,КА-00006687,differ
26025,"Аккумулятор Delta LFP Plastic 2424 (LiFePO4, 24Ah, 24V)",4622,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26026,"Аккумулятор Delta LFP Plastic 2454 (LiFePO4, 24Ah, 54V)",4622,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26027,"Аккумулятор Delta RTL4810 (LiFePO4, 48V, 10Ah)",4622,КА-00003988,,Аккумулятор LiFEPO4 48V 320ah (подогрев),LIFEPO448V,no,0.6,sig+generic,,new
26028,"Аккумулятор Delta RTL4820 (LiFePO4, 48V, 20Ah)",4622,КА-00003988,,Аккумулятор LiFEPO4 48V 320ah (подогрев),LIFEPO448V,no,0.6,sig+generic,,new
26029,"Аккумулятор Delta RTL4840 (LiFePO4, 48V, 40Ah)",4622,КА-00003988,,Аккумулятор LiFEPO4 48V 320ah (подогрев),LIFEPO448V,no,0.6,sig+generic,,new
26030,"Аккумулятор Delta RTL4850 (LiFePO4, 48V, 50Ah)",4622,КА-00003988,,Аккумулятор LiFEPO4 48V 320ah (подогрев),LIFEPO448V,no,0.6,sig+generic,,new
26031,"Аккумулятор Delta RTL48100 (LiFePO4, 48V, 100Ah)",4622,КА-00003988,,Аккумулятор LiFEPO4 48V 320ah (подогрев),LIFEPO448V,no,0.6,sig+generic,,new
26032,"Аккумулятор Delta RTL48150 (LiFePO4, 48V, 150Ah)",4622,КА-00003988,,Аккумулятор LiFEPO4 48V 320ah (подогрев),LIFEPO448V,no,0.6,sig+generic,,new
26033,"Аккумулятор Delta RTL48200 (LiFePO4, 48V, 200Ah)",4622,КА-00003988,,Аккумулятор LiFEPO4 48V 320ah (подогрев),LIFEPO448V,no,0.6,sig+generic,,new
26049,"Аккумулятор НЭТЕР LFP4-300-150P13 (LiFePO4, 300Ah, 12V)",25675,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
26050,"Аккумулятор Liitokala LFP12300 (LiFePO4, 300Ah, 12V)",20378,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
