Bitrix ID раздела,Родитель ID,Название,Путь на сайте,Ссылка на сайт,🟥 1С-группа (заполнить)
829,482,MCM,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/mcm,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/mcm/,
717,482,Medcaptain,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/medcaptain,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/medcaptain/,
718,482,Medela,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/medela,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/medela/,
719,482,Mediaid,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/mediaid,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/mediaid/,
720,482,Medical Econet,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/medical-econet,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/medical-econet/,
721,482,Medsonic,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/medsonic,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/medsonic/,
826,482,Medtronic,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/medtronic,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/medtronic/,
722,482,Mekics,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/mekics,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/mekics/,
723,482,Metrax,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/metrax,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/metrax/,
724,482,Microtac,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/microtac,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/microtac/,
725,482,Million,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/million,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/million/,
726,482,Mindray,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/mindray,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/mindray/,
727,482,Natus,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/natus,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/natus/,
728,482,Nellcor Puritan Bennett,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/nellcor-puritan-bennett,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/nellcor-puritan-bennett/,
